Industry,Decreased (%),Increased (%),Stayed the same (%),Don't Know (%)
Mining,33,4,55,8
Manufacturing,74,8,18,0
"Electricity, Gas, Water and Waste Services",49,6,38,6
Construction,56,13,28,4
Wholesale Trade,60,12,25,4
Retail Trade,65,20,7,7
Accommodation and Food Services,84,6,0,10
"Transport, Postal and Warehousing",74,11,15,0
Information Media and Telecommunications,80,1,18,0
Financial and Insurance Services,48,6,23,22
"Rental, Hiring and Real Estate Services",71,0,28,0
"Professional, Scientific and Technical Services",52,9,35,4
Administrative and Support Services,78,6,11,5
Education and Training,87,4,9,0
Health Care and Social Assistance,69,1,24,7
Arts and Recreation Services,78,4,18,0
Other Services,78,4,18,0
