Real GDP growth (Annual percent change),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,8.7,0.7,11.8,5.4,13.3,3.9,20.6,8.4,6.5,14,5.7,2.7,1,2.2,2.6,1.2,3.9,-5
Albania,6.9,8.3,4.5,5.5,5.5,5.5,5.9,6,7.5,3.4,3.7,2.5,1.4,1,1.8,2.2,3.3,3.8,4.1,2.2,-7.5
Algeria,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.8,3.4,2.8,3.8,3.7,3.2,1.3,1.4,0.8,-5.5
Angola,3.1,4.2,13.7,3,11,15,11.5,14,11.2,0.9,4.9,3.5,8.5,5,4.8,0.9,-2.6,-0.2,-1.2,-0.9,-4
Antigua and Barbuda,6.7,-5,1,6.1,5.7,6.4,12.7,9.3,0,-12.1,-7.6,-2,3.4,-0.6,3.8,3.8,5.5,3.1,7,3.4,-17.3
Argentina,-0.8,-4.4,-10.9,9,8.9,8.9,8,9,4.1,-5.9,10.1,6,-1,2.4,-2.5,2.7,-2.1,2.8,-2.6,-2.1,-11.8
Armenia,5.9,9.5,14.8,14.1,10.5,14.1,13.2,13.7,6.9,-14.1,2.2,4.7,7.1,3.4,3.6,3.3,0.2,7.5,5.2,7.6,-4.5
Aruba,7.6,-3,-3.3,2,7.9,1.2,1.1,2,0.2,-11.3,-3.3,3.5,-1.4,4.2,0.9,-0.4,0.5,2.3,1.2,0.4,-19.7
Australia,3,2.6,4.1,2.8,4.1,3,2.7,4.4,2.7,1.9,2.4,2.8,3.8,2.1,2.6,2.3,2.8,2.4,2.8,1.8,-4.2
Austria,3.4,1.3,1.7,0.9,2.7,2.2,3.5,3.7,1.5,-3.8,1.8,2.9,0.7,0,0.7,1,2.1,2.5,2.4,1.6,-6.7
Azerbaijan,6.2,6.5,9.4,10.2,9.3,28,34.5,25.5,10.6,9.4,4.8,-1.6,2.2,5.8,2.8,1,-3.1,0.2,1.5,2.2,-4
"Bahamas, The",4.1,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,1.5,0.6,3.1,-2.7,1.1,0.2,1.4,3.1,3,1.2,-14.8
Bahrain,7,2.5,3.3,6.3,7,6.8,6.5,8.3,6.2,2.5,4.3,2,3.7,5.4,4.4,2.5,3.6,4.3,1.8,1.8,-4.9
Bangladesh,5.9,5.3,4.4,5.3,6.3,6,6.6,7.1,6,5,5.6,6.5,6.5,6,6.1,6.6,7.1,7.3,7.9,8.2,3.8
Barbados,4.5,-2.4,0.8,2.2,1.4,4,5.7,2.2,0.7,-5.1,-2.3,-0.7,-0.4,-1.4,-0.1,2.4,2.5,0.5,-0.6,-0.1,-11.6
Belarus,5.8,4.7,5,7,11.4,9.4,10,8.6,10.2,0.2,7.8,5.5,1.7,1,1.7,-3.8,-2.5,2.5,3.1,1.2,-3
Belgium,3.7,1.1,1.7,1,3.6,2.3,2.6,3.7,0.4,-2,2.9,1.7,0.7,0.5,1.6,2,1.5,1.9,1.5,1.4,-8.3
Belize,13,4.7,4.7,9.3,4.8,2,4.8,0.5,3.5,0.2,3,1.9,2.4,1.3,3.6,2.8,0.1,1.9,2.1,-2,-16
Benin,5.9,5.3,4.6,3.4,4.4,1.7,3.9,6,4.9,2.3,2.1,3,4.8,7.2,6.4,1.8,3.3,5.7,6.7,6.9,2
Bhutan,6.9,7,9.5,9.3,6.9,6.7,7.1,12.9,11,5.8,9.5,9.9,6.5,3.6,4,6.2,7.4,6.3,3.8,3.8,0.6
Bolivia,2.5,1.7,2.5,2.7,4.2,4.4,4.8,4.6,6.1,3.4,4.1,5.2,5.1,6.8,5.5,4.9,4.3,4.2,4.2,2.2,-7.9
Bosnia and Herzegovina,4.4,2.4,5.1,3.9,6.3,4.2,5.7,6,5.6,-0.8,0.8,0.9,-0.7,2.4,1.1,3.1,3.1,3.2,3.7,2.7,-6.5
Botswana,2,0.3,6.1,4.6,2.7,4.6,8.4,8.3,6.2,-7.7,8.6,6,4.5,11.3,4.1,-1.7,4.3,2.9,4.5,3,-9.6
Brazil,4.4,1.4,3.1,1.1,5.8,3.2,4,6.1,5.1,-0.1,7.5,4,1.9,3,0.5,-3.5,-3.3,1.3,1.3,1.1,-5.8
Brunei Darussalam,2.9,2.7,3.9,2.9,0.5,0.4,4.4,0.1,-2,-1.8,2.7,3.7,0.9,-2.1,-2.5,-0.4,-2.5,1.3,0.1,3.9,0.1
Bulgaria,4.8,3.8,6,5.2,6.4,7.2,6.8,6.6,6.1,-3.4,0.6,2.4,0.4,0.3,1.9,4,3.8,3.5,3.1,3.4,-4
Burkina Faso,1.9,6.6,4.4,7.8,4.5,8.7,6.3,4.1,5.8,3,8.4,6.6,6.5,5.8,4.3,3.9,6,6.2,6.8,5.7,-2
Burundi,1.8,1.7,2.4,2.5,3.8,4.4,5.4,3.5,4.9,3.8,5.1,4,4.4,5.9,4.3,-3.9,-0.6,0.5,1.6,1.8,-3.2
Cabo Verde,7.3,6.1,5.3,7.5,4.9,5.8,9.1,9.2,6.7,-1.3,1.5,4,1.1,0.8,0.6,1,4.7,3.7,4.5,5.7,-6.8
Cambodia,9.6,8.6,6.6,8.5,10.3,13.3,10.8,10.2,6.7,0.1,6,7.1,7.3,7.4,7.1,7,6.9,7,7.5,7,-2.8
Cameroon,3.6,4.4,4.2,4.6,6.8,2,3.5,4.9,3.5,2.2,3.4,4.1,4.5,5.4,5.9,5.7,4.6,3.5,4.1,3.9,-2.8
Canada,5.2,1.8,3,1.8,3.1,3.2,2.6,2.1,1,-2.9,3.1,3.1,1.8,2.3,2.9,0.7,1,3.2,2,1.7,-7.1
Central African Republic,-3.6,2.6,2.1,-2.2,-0.1,2.9,4.8,4,2.6,2.8,4.6,4.2,5.1,-36.4,0.1,4.3,4.7,4.5,3.8,3,-1
Chad,-0.9,11.7,8.5,14.7,33.6,8.3,0.6,3.3,3.1,4.1,13.6,0.1,8.8,5.8,6.9,1.8,-5.6,-2.4,2.3,3,-0.7
Chile,5.3,3.3,3.1,4.1,7.2,5.7,6.3,4.9,3.6,-1.6,5.8,6.1,5.3,4,1.8,2.3,1.7,1.2,4,1.1,-6
"China, People's Republic of",8.5,8.4,9.1,10,10.2,11.4,12.7,14.3,9.7,9.4,10.6,9.5,7.9,7.8,7.3,6.9,6.8,6.9,6.7,6.1,1.9
Colombia,2.9,1.7,2.5,3.9,5.3,4.7,6.7,6.7,3.3,1.1,4.5,6.9,3.9,5.1,4.5,3,2.1,1.4,2.5,3.3,-8.2
Comoros,-1,5.4,4.6,2,3.1,5.7,-1.8,0.8,4,3.2,3.8,4.1,3.2,4.5,2.1,1.3,3.5,4.2,3.6,1.9,-1.8
"Congo, Dem. Rep. of the",-8.1,-2.1,2.9,5.6,6.7,6.1,5.3,6.3,6.2,2.9,7.1,6.9,7.1,8.5,9.5,6.9,2.4,3.7,5.8,4.4,-2.2
"Congo, Republic of ",11.8,-4.8,1,0.5,-0.2,9.2,8,-6.6,6.3,11.6,9.9,2.2,9.9,-0.7,6.7,-3.6,-10.7,-4.4,-6.4,-0.6,-7
Costa Rica,3.8,3.5,3.3,4.3,4.3,3.9,7.2,8.2,4.6,-1,5,4.3,4.8,2.3,3.5,3.6,4.2,3.9,2.7,2.1,-5.5
Croatia,3.7,3.3,5.1,5.6,4.2,4.3,5,5.3,1.8,-7.4,-1.5,-0.3,-2.2,-0.5,-0.1,2.4,3.5,3.1,2.7,2.9,-9
Cyprus,6,4,3.7,2.6,5,4.9,4.7,5.1,3.6,-2,2,0.4,-3.4,-6.6,-1.9,3.4,6.7,4.4,4.1,3.2,-6.4
Czech Republic,4,3,1.6,3.6,4.8,6.6,6.8,5.6,2.7,-4.7,2.4,1.8,-0.8,0,2.3,5.4,2.5,5.2,3.2,2.3,-6.5
Côte d'Ivoire,-2.1,0.1,-1.7,-1.4,1.2,1.7,1.5,1.8,2.5,3.3,2,-4.9,10.9,9.3,8.8,8.8,7.2,7.4,6.8,6.5,1.8
Denmark,3.7,0.8,0.5,0.4,2.7,2.3,3.9,0.9,-0.5,-4.9,1.9,1.3,0.2,0.9,1.6,2.3,3.2,2,2.4,2.3,-4.5
Djibouti,0.7,1.8,3.2,3.2,2.8,3.1,4.8,5,5.8,1.6,4.1,7.3,4.8,5,7.1,7.7,6.7,5.4,8.4,7.5,-1
Dominica,2.3,-0.1,-2.8,6.4,3.1,0.7,4.7,6.4,7.1,-1.2,0.7,-0.2,-1.1,-0.6,4.4,-2.6,2.5,-9.5,0.5,8.4,-8.8
Dominican Republic,4.7,2.5,4.5,-1.3,2.6,9.4,9.2,7.4,3.2,0.9,8.3,3.1,2.7,4.9,7.1,6.9,6.7,4.7,7,5.1,-6
