Time,Persons(%),Males(%),Females(%)
1/01/2019,8.1,6.2,10.3
1/02/2019,8.1,6.2,10.2
1/03/2019,8.3,6.5,10.3
1/04/2019,8.5,6.9,10.3
1/05/2019,8.5,6.8,10.5
1/06/2019,8.2,6.6,10
1/07/2019,8.4,6.7,10.4
1/08/2019,8.5,6.9,10.3
1/09/2019,8.3,6.8,10.1
1/10/2019,8.5,6.7,10.5
1/11/2019,8.3,6.7,10.2
1/12/2019,8.2,6.6,10.1
1/01/2020,8.6,6.7,10.7
1/02/2020,8.6,6.6,10.9
1/03/2020,8.8,7.2,10.6
1/04/2020,13.8,12.6,15
1/05/2020,13.1,12.2,14.1
1/06/2020,11.7,10.9,12.6
1/07/2020,11.2,10.3,12.2
1/08/2020,11.3,10.5,12.1
1/09/2020,11.4,10.7,12.1
